-3.0 	 2.9180040359572143E-6 	 2.9180040359572143E-6 	 1.3464834239471627E-4 	 1.3464834239471627E-4 	 1.2815424960819168E-4 	 1.2815424960819168E-4 	 1.289574624187097E-4 	 1.289574624187097E-4 	 
-2.976 	 3.4645393063305653E-6 	 3.4645393063305653E-6 	 1.453575344576684E-4 	 1.453575344576684E-4 	 1.3948201981885775E-4 	 1.3948201981885775E-4 	 1.3685371481671703E-4 	 1.3685371481671703E-4 	 
-2.952 	 4.29748520534299E-6 	 4.29748520534299E-6 	 1.5763817918422324E-4 	 1.5763817918422324E-4 	 1.2997513834214872E-4 	 1.2997513834214872E-4 	 1.3628471644226386E-4 	 1.3628471644226386E-4 	 
-2.928 	 5.45694483112961E-6 	 5.45694483112961E-6 	 2.6107475649887014E-4 	 2.6107475649887014E-4 	 2.2861100485774687E-4 	 2.2861100485774687E-4 	 2.2263916885276432E-4 	 2.2263916885276432E-4 	 
-2.904 	 5.1006920951415375E-6 	 5.1006920951415375E-6 	 1.7364672401044197E-4 	 1.7364672401044197E-4 	 1.7037738738709076E-4 	 1.7037738738709076E-4 	 1.7070451592493877E-4 	 1.7070451592493877E-4 	 
-2.88 	 3.3937684288979018E-6 	 3.3937684288979018E-6 	 1.8980871340371208E-4 	 1.8980871340371208E-4 	 1.772262250532025E-4 	 1.772262250532025E-4 	 1.7621395789050247E-4 	 1.7621395789050247E-4 	 
-2.856 	 3.176474448484036E-6 	 3.176474448484036E-6 	 1.8847448454877225E-4 	 1.8847448454877225E-4 	 1.745658171936107E-4 	 1.745658171936107E-4 	 1.7458700350966828E-4 	 1.7458700350966828E-4 	 
-2.832 	 3.4186288385238746E-6 	 3.4186288385238746E-6 	 1.9707943953534496E-4 	 1.9707943953534496E-4 	 1.833581305783093E-4 	 1.833581305783093E-4 	 1.8197295673187815E-4 	 1.8197295673187815E-4 	 
-2.808 	 3.699910673103709E-6 	 3.699910673103709E-6 	 2.2386329429697653E-4 	 2.2386329429697653E-4 	 1.894834178274315E-4 	 1.894834178274315E-4 	 1.938138287932597E-4 	 1.938138287932597E-4 	 
-2.784 	 5.8979541083102894E-6 	 5.8979541083102894E-6 	 3.6346217030207105E-4 	 3.6346217030207105E-4 	 2.9298242066318816E-4 	 2.9298242066318816E-4 	 2.9541583607887604E-4 	 2.9541583607887604E-4 	 
-2.76 	 6.374688851575288E-6 	 6.374688851575288E-6 	 4.2515627370214194E-4 	 4.2515627370214194E-4 	 3.7172583471076995E-4 	 3.7172583471076995E-4 	 3.661319432917278E-4 	 3.661319432917278E-4 	 
-2.7359999999999998 	 6.452943985119395E-6 	 6.452943985119395E-6 	 3.296668451072585E-4 	 3.296668451072585E-4 	 3.194523465485566E-4 	 3.194523465485566E-4 	 3.1443949411199325E-4 	 3.1443949411199325E-4 	 
-2.7119999999999997 	 6.603728089251879E-6 	 6.603728089251879E-6 	 2.702685557818034E-4 	 2.702685557818034E-4 	 2.6077475963671125E-4 	 2.6077475963671125E-4 	 2.614990984648249E-4 	 2.614990984648249E-4 	 
-2.688 	 6.048899326605161E-6 	 6.048899326605161E-6 	 2.8982220766267066E-4 	 2.8982220766267066E-4 	 2.720161109175929E-4 	 2.720161109175929E-4 	 2.693306600910089E-4 	 2.693306600910089E-4 	 
-2.664 	 4.9756707279792885E-6 	 4.9756707279792885E-6 	 2.6028891473639753E-4 	 2.6028891473639753E-4 	 2.4486523195230164E-4 	 2.4486523195230164E-4 	 2.4466496624716286E-4 	 2.4466496624716286E-4 	 
-2.64 	 4.062106984967075E-6 	 4.062106984967075E-6 	 3.41747870115647E-4 	 3.41747870115647E-4 	 2.8158503521156386E-4 	 2.8158503521156386E-4 	 2.88841497275702E-4 	 2.88841497275702E-4 	 
-2.616 	 4.711363968940306E-6 	 4.711363968940306E-6 	 5.125239324915113E-4 	 5.125239324915113E-4 	 4.3109848825772964E-4 	 4.3109848825772964E-4 	 4.27621781656645E-4 	 4.27621781656645E-4 	 
-2.592 	 6.253378898993702E-6 	 6.253378898993702E-6 	 4.834704948017933E-4 	 4.834704948017933E-4 	 4.407110984259645E-4 	 4.407110984259645E-4 	 4.3660345816646303E-4 	 4.3660345816646303E-4 	 
-2.568 	 6.714207111465434E-6 	 6.714207111465434E-6 	 4.04340620003457E-4 	 4.04340620003457E-4 	 4.003364441439292E-4 	 4.003364441439292E-4 	 3.9317005271225506E-4 	 3.9317005271225506E-4 	 
-2.544 	 8.01792340693149E-6 	 8.01792340693149E-6 	 3.2697479853129534E-4 	 3.2697479853129534E-4 	 3.15731928371388E-4 	 3.15731928371388E-4 	 3.195859057850642E-4 	 3.195859057850642E-4 	 
-2.52 	 1.0330521355897072E-5 	 1.0330521355897072E-5 	 4.613429398100079E-4 	 4.613429398100079E-4 	 3.956126074190182E-4 	 3.956126074190182E-4 	 3.9876202726859855E-4 	 3.9876202726859855E-4 	 
-2.496 	 1.1717901246814748E-5 	 1.1717901246814748E-5 	 5.584479431379153E-4 	 5.584479431379153E-4 	 4.8852382269528E-4 	 4.8852382269528E-4 	 4.854776768512164E-4 	 4.854776768512164E-4 	 
-2.472 	 1.1533195959410782E-5 	 1.1533195959410782E-5 	 5.09604623973052E-4 	 5.09604623973052E-4 	 4.7929430535256437E-4 	 4.7929430535256437E-4 	 4.721940666765707E-4 	 4.721940666765707E-4 	 
